ultralytics/yolov5,ultralytics/yolov5.1,"['yolov3', 'yolov4', 'yolov5', 'object-detection', 'pytorch', 'onnx', 'coreml', 'ios', 'tflite', 'yolo', 'deep-learning', 'machine-learning', 'ml']",YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
r9y9/nnsvs,nnsvs/nnsvs,"['singing-voice-synthesis', 'dnn', 'pytorch', 'kiritan', 'singing-voice', 'python', 'deep-learning', 'singing-synthesis']",Neural network-based singing voice synthesis library for research
tensorspeech/tensorflowasr,TensorSpeech/TensorFlowASR,"['automatic-speech-recognition', 'deepspeech2', 'speech-recognition', 'speech-to-text', 'tensorflow2', 'rnn-transducer', 'conformer', 'tflite', 'tflite-model', 'tflite-convertion', 'ctc', 'tensorflow', 'subword-speech-recognition', 'end2end', 'contextnet', 'jasper', 'streaming-transducer']",:zap: TensorFlowASR: Almost State-of-the-art Automatic Speech Recognition in Tensorflow 2. Supported languages that can use characters or subwords
endlesssora/focal-frequency-loss,EndlessSora/focal-frequency-loss,"['generative-models', 'loss-function', 'frequency-domain', 'frequency-analysis', 'complementary', 'autoencoder', 'variational-autoencoder', 'gan', 'pix2pix', 'spade', 'loss', 'image-reconstruction', 'image-synthesis', 'stylegan2', 'iccv2021', 'generative-adversarial-network', 'generic', 'image-generation']",[ICCV 2021] Focal Frequency Loss for Image Reconstruction and Synthesis
yingkaisha/keras-unet-collection,yingkaisha/keras-unet-collection,"['unet', 'attention-unet', 'unet-plusplus', 'r2u-net', 'resunet', 'u2net', 'unet-threeplus', 'pypi', 'tensorflow', 'vnet', 'backbone', 'imagenet', 'transunet', 'swinunet']","The Tensorflow, Keras implementation of U-net, V-net, U-net++, UNET 3+, Attention U-net, R2U-net, ResUnet-a, U^2-Net, TransUNET, and Swin-UNET with optional ImageNet-trained backbones."
fatescript/centernet-better,FateScript/CenterNet-better,"['deep-learning', 'computer-vision', 'object-detection']",An easy to understand and better performance version of CenterNet
dvlab-research/entity,dvlab-research/Entity,"['image-segmentation', 'segmentation', 'pytorch', 'instance-segmentation', 'panoptic-segmentation', 'semantic-segmentation', 'object-detection', 'fcos', 'condinst', 'detectron2', 'pretrained-weights', 'pretrained-models', 'computer-vision', 'deep-learning', 'cnn', 'pretraining']", EntitySeg Toolbox: Towards Open-World and High-Quality Image Segmentation
megvii-research/mdistiller,megvii-research/mdistiller,"['pytorch', 'knowledge-distillation', 'computer-vision', 'deep-learning', 'cifar', 'coco', 'cvpr2022', 'imagenet']",The official implementation of [CVPR2022] Decoupled Knowledge Distillation https://arxiv.org/abs/2203.08679
raminmh/liquid_time_constant_networks,raminmh/liquid_time_constant_networks,"['deep-learning', 'liquid-neural-networks', 'recurrent-neural-networks', 'sequence-modeling', 'state-space-models', 'time-series']",Code Repository for Liquid Time-Constant Networks (LTCs)
lezcano/geotorch,lezcano/geotorch,"['pytorch', 'constrained-optimization', 'manifold-optimization', 'orthogonality', 'invertible-neural-networks', 'positive-definite-matrices', 'positive-semi-definite', 'low-rank']",Constrained optimization toolkit for PyTorch
yarkable/awesome-computer-vision-paper-list,yarkable/Awesome-Computer-Vision-Paper-List,"['cvpr', 'iccv', 'nips', 'computer-vision', 'artificial-intelligence', 'paper', 'eccv', 'neurips', 'icml', 'iclr', 'ijcai', 'deep-learning', 'acmmm', 'aaai', 'wacv', 'bmvc', 'accv2020', 'accv2018', 'machine-learning', 'awesome-list']","This repository contains all the papers accepted in top conference of computer vision, with convenience to search related papers."
booknlp/booknlp,booknlp/booknlp,"['natural-language-processing', 'cultural-analytics', 'digital-humanities', 'computational-social-science']","BookNLP, a natural language processing pipeline for books"
tusen-ai/sst,tusen-ai/SST,"['pytorch', '3d-object-detection', 'autonomous-driving']",Codes for “Fully Sparse 3D Object Detection” & “Embracing Single Stride 3D Object Detector with Sparse Transformer”
jina-ai/examples,jina-ai/examples,"['jina', 'examples', 'tutorials', 'onboarding', 'neural-search', 'python', 'deep-learning', 'semantic-search', 'nlp']",Jina examples and demos to help you get started
hpcaitech/fastfold,hpcaitech/FastFold,"['alphafold2', 'protein-structure', 'pytorch', 'gpu', 'evoformer', 'parallelism', 'protein-folding', 'cuda', 'habana-gaudi']",Optimizing AlphaFold Training and Inference on GPU Clusters
fantasy-studio/paint-by-example,Fantasy-Studio/Paint-by-Example,"['computer-vision', 'deep-learning', 'diffusion-models', 'image-editing', 'image-generation', 'image-manipulation', 'pytorch', 'stable-diffusion', 'paint-by-example']",Paint by Example: Exemplar-based Image Editing with Diffusion Models
georgian-io/multimodal-toolkit,georgian-io/Multimodal-Toolkit,"['huggingface-transformers', 'transformer', 'natural-language-processing', 'tabular-data', 'multimodal-learning']",Multimodal model for text and tabular data with HuggingFace transformers as building block for text data
braindecode/braindecode,braindecode/braindecode,"['deep-learning', 'eeg', 'electroencephalogram', 'electroencephalography', 'neuroimaging', 'neuroscience', 'python', 'pytorch', 'meg', 'magnetoencephalography', 'electrocorticography', 'ecog']","Deep learning software to decode EEG, ECG or MEG signals"
archinetai/audio-diffusion-pytorch,archinetai/audio-diffusion-pytorch,"['artificial-intelligence', 'audio-generation', 'deep-learning', 'denoising-diffusion']","Audio generation using diffusion models, in PyTorch."
menyifang/adgan,menyifang/ADGAN,"['pose-transfer', 'generative-adversarial-network', 'gan', 'pytorch', 'virtual-try-on', 'image-synthesis']","The Implementation of paper ""Controllable Person Image Synthesis with Attribute-Decomposed GAN"" CVPR 2020 (Oral); Pose and Appearance Attributes Transfer;"
alibaba/tinyneuralnetwork,alibaba/TinyNeuralNetwork,"['pytorch', 'deep-learning', 'model-compression', 'pruning', 'model-converter', 'quantization-aware-training', 'deep-neural-networks', 'post-training-quantization']",TinyNeuralNetwork is an efficient and easy-to-use deep learning model compression framework.
syscv/transfiner,SysCV/transfiner,"['cvpr', 'cvpr2022', 'efficient-transformers', 'high-quality', 'instance-segmentation', 'transformer']","Mask Transfiner for High-Quality Instance Segmentation, CVPR 2022"
prbonn/lidar-mos,PRBonn/LiDAR-MOS,"['lidar', 'point-cloud', 'segmentation', 'slam', 'mapping', 'deep-learning', 'deep-neural-networks', 'moving-object-segmentation', 'lidar-slam', 'dynamic-slam', 'motion-detection']",(LMNet) Moving Object Segmentation in 3D LiDAR Data: A Learning-based Approach Exploiting Sequential Data (RAL/IROS 2021)
hrnet/hrformer,HRNet/HRFormer,"['vision', 'transformer', 'segmentation', 'pose-estimation', 'classification', 'hrnet']","This is an official implementation of our NeurIPS 2021 paper ""HRFormer: High-Resolution Transformer for Dense Prediction""."
zhendongwang6/uformer,ZhendongWang6/Uformer,"['deep-learning', 'pytorch', 'image-restoration', 'image-denoising', 'image-deblurring', 'image-deraining', 'image-demoireing']","[CVPR 2022] Official repository for the paper ""Uformer: A General U-Shaped Transformer for Image Restoration""."
minqi824/adbench,Minqi824/ADBench,"['anomaly-detection', 'benchmark', 'data-mining', 'deep-learning', 'machine-learning', 'outlier-detection', 'semi-supervised-learning', 'supervised-learning', 'unsupervised-learning', 'data-sicence', 'ensemble-learning', 'neural-networks', 'python']","Official Implement of ""ADBench: Anomaly Detection Benchmark""."
koaning/whatlies,koaning/whatlies,"['nlp', 'embeddings', 'visualisations']","Toolkit to help understand ""what lies"" in word embeddings. Also benchmarking! "
nvlabs/fan,NVlabs/FAN,"['backbone', 'deep-learning', 'image-classification', 'object-detection', 'vision-transformers', 'visual-recognition', 'semantic-segmentation', 'corruption', 'imagenet', 'out-of-distribution', 'pre-train', 'cityscapes', 'coco', 'information-bottleneck', 'self-attention', 'visual-grouping']",Official PyTorch implementation of Fully Attentional Networks
xwying/torchshow,xwying/torchshow,"['visualization', 'tensor', 'image-tensor', 'notebook', 'pytorch']",Visualize PyTorch tensors with a single line of code.
edisonleeeee/graphgallery,EdisonLeeeee/GraphGallery,"['graph-neural-networks', 'models', 'graph', 'geometric-deep-learning', 'pytorch', 'graphgallery', 'adversarial-machine-learning', 'dgl', 'pyg']",GraphGallery is a gallery for benchmarking Graph Neural Networks.
modelscope/modelscope,modelscope/modelscope,"['nlp', 'cv', 'speech', 'multi-modal', 'science', 'deep-learning', 'machine-learning', 'python']",ModelScope is committed to empowering a wide-spectrum of developers to leverage AI models from various domains. (致力于通过开放的社区合作，开源AI模型以及相关创新技术，推动基于模型即服务的生态繁荣发展。)
xue-pai/fuxictr,xue-pai/FuxiCTR,"['ctr-prediction', 'recommender-systems', 'ctr', 'cvr', 'pytorch']","A configurable, tunable, and reproducible library for CTR prediction"
media-smart/vedastr,Media-Smart/vedastr,"['pytorch', 'scene-text-recognition', 'ocr', 'ocr-recognition', 'text-recognition', 'transformer']",A scene text recognition toolbox based on PyTorch
swz30/cycleisp,swz30/CycleISP,"['image-denoising', 'data-synthesis', 'camera-imaging-pipeline', 'low-level-vision', 'cycleisp', 'computer-vision', 'image-restoration', 'pytorch', 'rgb2raw', 'raw2rgb', 'cvpr2020']",[CVPR 2020--Oral] CycleISP: Real Image Restoration via Improved Data Synthesis
jik876/hifi-gan,jik876/hifi-gan,"['speech-synthesis', 'gan', 'text-to-speech', 'tts', 'deep-learning', 'hifi-gan', 'pytorch', 'vocoder']",HiFi-GAN: Generative Adversarial Networks for Efficient and High Fidelity Speech Synthesis
visualdatabase/fastdup,visual-layer/fastdup,"['data-curation', 'dataset', 'deep-learning', 'image-duplicate-detection', 'machine-learning', 'novelty-detection', 'object-detection', 'outlier-detection', 'python', 'visual-search', 'data-augmentation', 'image-classification', 'kaggle', 'similarity', 'image', 'image-classfication', 'image-processing', 'visualization-tools']","FastDup is a tool for gaining insights from a large image collection. It can find anomalies, duplicate and near duplicate images, clusters of similaritity, learn the normal behavior and temporal interactions between images. It can be used for smart subsampling of a higher quality dataset, outlier removal, novelty detection of new information to be sent for tagging. FastDup scales to millions of images running on CPU only."
opendilab/interfuser,opendilab/InterFuser,"['autonomous-driving', 'bird-view-image', 'transformer']",[CoRL 2022] InterFuser: Safety-Enhanced Autonomous Driving Using Interpretable Sensor Fusion Transformer
crowsonkb/style-transfer-pytorch,crowsonkb/style-transfer-pytorch,"['pytorch', 'style-transfer', 'neural-art']",Neural style transfer in PyTorch.
vas3k/infomate.club,vas3k/infomate.club,"['rss', 'feed', 'python', 'telegram', 'nltk', 'nlp']",RSS feed aggregator with collections and NLP article summarization
webis-de/small-text,webis-de/small-text,"['active-learning', 'text-classification', 'pytorch', 'transformers', 'natural-language-processing', 'python', 'machine-learning', 'deep-learning', 'nlp']",Active Learning for Text Classification in Python
mindslab-ai/faceshifter,mindslab-ai/faceshifter,"['pytorch', 'pytorch-lightning', 'face-swapping']",Unofficial PyTorch Implementation for FaceShifter (https://arxiv.org/abs/1912.13457)
murufeng/awesome_lightweight_networks,murufeng/awesome_lightweight_networks,"['mobile-networks', 'awesome-list', 'deep-learning', 'mobilenet']",The implementation of various lightweight networks by using PyTorch. such as：MobileNetV2，MobileNeXt，GhostNet，ParNet，MobileViT、AdderNet，ShuffleNetV1-V2，LCNet，ConvNeXt，etc. ⭐⭐⭐⭐⭐
microsoft/deepspeed-mii,microsoft/DeepSpeed-MII,"['deep-learning', 'inference', 'pytorch']","MII makes low-latency and high-throughput inference possible, powered by DeepSpeed."
sb-ai-lab/lightautoml,sb-ai-lab/LightAutoML,"['automl', 'data-science', 'machine-learning', 'python', 'automated-machine-learning', 'automatic-machine-learning', 'automl-algorithms', 'binary-classification', 'kaggle', 'lama', 'multiclass-classification', 'nlp', 'regression']",Fast and customizable framework for automatic ML model creation (AutoML)
carefree0910/carefree-learn,carefree0910/carefree-learn,"['pytorch', 'automl', 'algorithm', 'ensemble', 'numpy', 'machine-learning', 'tabular-data', 'python', 'deep-learning', 'data-science', 'tabular-datasets', 'computer-vision']",Deep Learning ❤️ PyTorch
researchmm/stark,researchmm/Stark,['transformer'],[ICCV'21] Learning Spatio-Temporal Transformer for Visual Tracking
vector-ai/vectorhub,RelevanceAI/vectorhub,"['python', 'vector', 'embeddings', 'encodings', 'vector-similarity', 'transformers', 'tfhub', 'machine-learning', 'deeplearning', 'artificial-intelligence', 'neural-network', 'deep-learning', 'tensorflow', 'pytorch', 'word2vec', 'image2vec', 'audio-processing', 'video-processing']","Vector Hub - Library for easy discovery, and consumption of State-of-the-art models to turn data into vectors. (text2vec, image2vec, video2vec, graph2vec, bert, inception, etc)"
intel/openfl,intel/openfl,"['federated-learning', 'secure-computation', 'openfl', 'distributed-computing', 'deep-learning', 'collaborative-learning', 'privacy-preserving-machine-learning', 'machine-learning', 'fedprox', 'fedavg', 'federated-analytics', 'python', 'federated-learning-framework', 'federated-deep-learning', 'pytorch-federated-learning', 'tensorflow-federated-learning', 'keras-federated-learning', 'distributed-learning', 'fedcurv', 'fedopt']",An open framework for Federated Learning.
simonvandenhende/multi-task-learning-pytorch,SimonVandenhende/Multi-Task-Learning-PyTorch,"['multi-task-learning', 'computer-vision', 'pytorch', 'nyud', 'pascal', 'segmentation', 'scene-understanding', 'eccv2020']","PyTorch implementation of multi-task learning architectures, incl. MTI-Net (ECCV2020). "
lucidrains/parti-pytorch,lucidrains/parti-pytorch,"['artificial-intelligence', 'attention-mechanism', 'deep-learning', 'text-to-image', 'transformers']","Implementation of Parti, Google's pure attention-based text-to-image neural network, in Pytorch"
bubbliiiing/unet-pytorch,bubbliiiing/unet-pytorch,[],这是一个unet-pytorch的源码，可以训练自己的模型
scalsol/mega.pytorch,Scalsol/mega.pytorch,"['video-object-detection', 'pytorch']","Memory Enhanced Global-Local Aggregation for Video Object Detection, CVPR2020"
neuml/codequestion,neuml/codequestion,"['python', 'machine-learning', 'search', 'nlp', 'txtai']",💭 Semantic search for developers
sforaidl/genrl,SforAiDl/genrl,"['reinforcement-learning-algorithms', 'reinforcement-learning', 'machine-learning', 'gym', 'openai', 'python', 'data-science', 'pytorch', 'algorithm-implementations', 'benchmarking', 'deep-learning', 'neural-network', 'hacktoberfest']",A PyTorch reinforcement learning library for generalizable and reproducible algorithm implementations with an aim to improve accessibility in RL
microsoft/lora,microsoft/LoRA,"['gpt-2', 'adaptation', 'language-model', 'gpt-3', 'low-rank', 'pytorch', 'deep-learning', 'roberta', 'deberta']","Code for loralib, an implementation of ""LoRA: Low-Rank Adaptation of Large Language Models"""
thuwangcy/rechorus,THUwangcy/ReChorus,"['recommendation', 'framework', 'pytorch', 'ranking']",“Chorus” of recommendation models: a light and flexible PyTorch framework for Top-K recommendation.
yyzharry/imbalanced-regression,YyzHarry/imbalanced-regression,"['imbalanced-data', 'imbalanced-learning', 'imbalanced-classification', 'imbalance', 'regression', 'long-tail', 'imbalanced-regression', 'icml', 'icml-2021', 'computer-vision', 'natural-language-processing', 'healthcare']","[ICML 2021, Long Talk] Delving into Deep Imbalanced Regression"
pykale/pykale,pykale/pykale,"['machine-learning', 'knowledge-aware-learning', 'computer-vision', 'graph-analysis', 'pytorch', 'medical-image-analysis', 'multimodal-learning', 'transfer-learning', 'domain-adaptation', 'data-science', 'deep-learning', 'meta-learning', 'python', 'multimodal']","Knowledge-Aware machine LEarning (KALE): accessible machine learning from multiple sources for interdisciplinary research, part of the 🔥PyTorch ecosystem"
jdai-cv/centerx,JDAI-CV/centerX,"['centernet', 'detectron2', 'deep-learning', 'object-detection', 'fast-reid', 'caffe', 'onnx', 'tensorrt', 'centerx']",This repo is implemented based on detectron2 and centernet
vinits5/learning3d,vinits5/learning3d,[],This is a complete package of recent deep learning methods for 3D point clouds in pytorch (with pretrained models).
rucaibox/crslab,RUCAIBox/CRSLab,"['conversational-recommendation', 'pytorch', 'graph-neural-network', 'pretrained-models', 'human-machine-interaction', 'deep-learning', 'dialog-system', 'recommender-system', 'conversation-system', 'recommendation', 'text-generation', 'knowledge-graph']",CRSLab is an open-source toolkit for building Conversational Recommender System (CRS).
tsingz0/pfl-non-iid,TsingZ0/PFL-Non-IID,"['non-iid', 'federated-learning', 'personalization', 'pytorch', 'python', 'distributed-computing', 'nlp', 'cv', 'cnn', 'rnn', 'heterogeneity', 'differential-privacy', 'privacy', 'amazon-reviews', 'imagenet', 'transformer', 'domainnet', 'iot']",Personalized federated learning simulation platform with non-IID and unbalanced dataset
diyago/gan-for-tabular-data,Diyago/GAN-for-tabular-data,"['tabular-data', 'gans', 'train-dataframe', 'adversarial-filtering', 'deep-learning', 'feature-engineering', 'gan', 'machine-learning', 'python']","We well know GANs for success in the realistic image generation. However, they can be applied in tabular data generation. We will review and examine some recent papers about tabular GANs in action."
xingangpan/deep-generative-prior,XingangPan/deep-generative-prior,"['generative-adversarial-network', 'gan', 'deep-learning', 'image-restoration', 'image-manipulation', 'image-prior']",Code for deep generative prior (ECCV2020 oral)
untitled-ai/self_supervised,untitled-ai/self_supervised,[],A Pytorch-Lightning implementation of self-supervised algorithms
imlixinyang/hisd,imlixinyang/HiSD,"['image-to-image-translation', 'gan', 'disentangled-representations']","Official pytorch implementation of paper ""Image-to-image Translation via Hierarchical Style Disentanglement"" (CVPR2021 Oral)."
kenziyuliu/ms-g3d,kenziyuliu/MS-G3D,"['action-recognition', 'pretrained-models', 'deep-learning', 'computer-vision', 'skeleton', 'pytorch']","[CVPR 2020 Oral] PyTorch implementation of ""Disentangling and Unifying Graph Convolutions for Skeleton-Based Action Recognition"""
mackelab/sbi,mackelab/sbi,"['simulation-based-inference', 'likelihood-free-inference', 'bayesian-inference', 'parameter-estimation', 'pytorch', 'machine-learning']",Simulation-based inference toolkit
hongsukchoi/pose2mesh_release,hongsukchoi/Pose2Mesh_RELEASE,"['single-view', 'graph-convolutional-network', '3d-mesh', '2d-human-pose', '3d-human-pose', '3d-human-mesh', 'rgb-image', 'eccv2020', 'eccv']","Official Pytorch implementation of ""Pose2Mesh: Graph Convolutional Network for 3D Human Pose and Mesh Recovery from a 2D Human Pose"", ECCV 2020"
alex04072000/fusta,alex04072000/FuSta,"['video-stabilization', 'iccv2021', 'pytorch', 'view-synthesis']",Hybrid Neural Fusion for Full-frame Video Stabilization
hkunlp/unifiedskg,HKUNLP/UnifiedSKG,"['natural-language-processing', 'pytorch', 'huggingface-transformers', 'huggingface-datasets', 'structured-knowledge-grounding', 'semantic-parsing', 'question-answering', 'data-to-text', 'text-generation', 'fact-verification', 'multi-task-learning', 'prompt-learning']",[EMNLP 2022] A Unified Framework and Analysis for Structured Knowledge Grounding with Text-to-Text Language Models
haoxiangsnr/fullsubnet,haoxiangsnr/FullSubNet,"['speech-enhancement', 'speech-processing', 'speech-separation', 'pytorch', 'pretrained-model', 'paper', 'full-band', 'sub-band', 'single-channel', 'noise-reduction', 'denoising', 'audio', 'band', 'narrow-band', 'reproducible-research', 'speech']","PyTorch implementation of ""FullSubNet: A Full-Band and Sub-Band Fusion Model for Real-Time Single-Channel Speech Enhancement."""
cavalleria/cavaface,cavalleria/cavaface,"['face-recognition', 'pytorch', 'network', 'loss', 'arcnegface', 'arcface', 'resnest', 'attention-irse', 'apex', 'randaugment', 'mixup', 'dataparallel', 'model-parallel', 'resnet-irse', 'curricularface', 'cosface', 'amsoftmax', 'circleloss', 'ghostnet', 'efficientnet']",face recognition training project(pytorch)
maghoumi/pytorch-softdtw-cuda,Maghoumi/pytorch-softdtw-cuda,"['dynamic-time-warping', 'pytorch', 'cuda', 'deep-learning', 'soft-dtw']",Fast CUDA implementation of (differentiable) soft dynamic time warping for PyTorch using Numba
tri-ml/dd3d,TRI-ML/dd3d,"['deep-learning', 'pytorch', 'computer-vision']","Official PyTorch implementation of DD3D: Is Pseudo-Lidar needed for Monocular 3D Object detection? (ICCV 2021), Dennis Park*, Rares Ambrus*, Vitor Guizilini, Jie Li, and Adrien Gaidon."
sicara/easy-few-shot-learning,sicara/easy-few-shot-learning,"['few-shot-learning', 'few-shot-recognition', 'few-shot-classifcation', 'meta-learning', 'machine-learning', 'pytorch', 'image-classification', 'deep-learning']",Ready-to-use code and tutorial notebooks to boost your way into few-shot learning for image classification. 
cardwing/codes-for-pvkd,cardwing/Codes-for-PVKD,"['cvpr2022', 'lidar-segmentation', 'nuscenes', 'point-cloud-segmentation', 'pytorch', 'range-image', 'semantickitti', 'waymo-dataset']",Point-to-Voxel Knowledge Distillation for LiDAR Semantic Segmentation (CVPR 2022)
mmasana/facil,mmasana/FACIL,"['framework', 'deep-learning', 'machine-learning', 'reproducible-research', 'incremental-learning', 'continual-learning', 'lifelong-learning', 'survey']",Framework for Analysis of Class-Incremental Learning with 12 state-of-the-art methods and 3 baselines.
lucidrains/memorizing-transformers-pytorch,lucidrains/memorizing-transformers-pytorch,"['artificial-intelligence', 'deep-learning', 'attention-mechanism', 'transformers', 'memory', 'retrieval', 'approximate-nearest-neighbors']","Implementation of Memorizing Transformers (ICLR 2022), attention net augmented with indexing and retrieval of memories using approximate nearest neighbors, in Pytorch"
samuela/git-re-basin,samuela/git-re-basin,"['deep-learning', 'deeplearning', 'jax', 'machine-learning', 'neural-networks']","Code release for ""Git Re-Basin: Merging Models modulo Permutation Symmetries"""
andrew-qibin/coordattention,houqb/CoordAttention,"['attention', 'mobilenetv2', 'mobilenext']",Code for our CVPR2021 paper coordinate attention
microsoft/archai,microsoft/archai,"['python', 'pytorch', 'machine-learning', 'deep-learning', 'neural-architecture-search', 'nas', 'automated-machine-learning', 'model-compression', 'darts', 'petridish', 'hyperparameter-optimization', 'automl']","Accelerate your Neural Architecture Search (NAS) through fast, reproducible and modular research."
lucmos/nn-template,grok-ai/nn-template,"['pytorch', 'template', 'pytorch-lightning', 'wandb', 'dvc', 'hydra', 'research', 'deep-learning', 'best-practices', 'reproducibility', 'project-structure', 'weights-and-biases', 'streamlit', 'mkdocs', 'github-actions', 'best-practises', 'pre-commit', 'cookiecutter']",Generic template to bootstrap your PyTorch project.
lucidrains/video-diffusion-pytorch,lucidrains/video-diffusion-pytorch,"['artificial-intelligence', 'deep-learning', 'ddpm', 'video-generation', 'text-to-video']","Implementation of Video Diffusion Models, Jonathan Ho's new paper extending DDPMs to Video Generation - in Pytorch"
yinboc/few-shot-meta-baseline,yinboc/few-shot-meta-baseline,"['machine-learning', 'few-shot-learning', 'pytorch']","Meta-Baseline: Exploring Simple Meta-Learning for Few-Shot Learning, in ICCV 2021"
xuyige/bert4doc-classification,xuyige/BERT4doc-Classification,"['natural-language-processing', 'bert', 'text-classification']",Code and source for paper ``How to Fine-Tune BERT for Text Classification?``
kaijieshi7/dynamic-convolution-pytorch,kaijieshi7/Dynamic-convolution-Pytorch,['dynamic-convolution'],Pytorch!!!Pytorch!!!Pytorch!!!  Dynamic Convolution: Attention over Convolution Kernels (CVPR-2020)
project-monai/monailabel,Project-MONAI/MONAILabel,"['3d-slicer-extension', 'active-learning', 'pytorch', 'deep-learning', 'monai', 'segmentation', 'medical-imaging', 'machine-learning', '3d']",MONAI Label is an intelligent open source image labeling and learning tool.
kevinzakka/torchnca,kevinzakka/torchnca,"['pytorch', 'nca-python', 'neighbourhood-components-analysis', 'python', 'python3']",A PyTorch implementation of Neighbourhood Components Analysis.
microsoft/tutel,microsoft/tutel,"['pytorch', 'moe', 'mixture-of-experts', 'nlp', 'transformer']",Tutel MoE: An Optimized Mixture-of-Experts Implementation
zikangzhou/hivt,ZikangZhou/HiVT,"['autonomous-driving', 'motion-prediction', 'transformer', 'cvpr2022']",[CVPR 2022] HiVT: Hierarchical Vector Transformer for Multi-Agent Motion Prediction
hellonlp/classifier-multi-label,hellonlp/classifier-multi-label,"['multi-label-classification', 'text-classification', 'tensorflow', 'multi-label', 'textcnn', 'cnn', 'bert', 'albert', 'classifier-multi-label', 'text-classifier']",多标签文本分类，多标签分类，文本分类，multi-label，classifier，text classification，BERT，ALBERT，multi-label-classification
media-smart/vedadet,Media-Smart/vedadet,"['object-detection', 'single-stage', 'toolbox', 'pytorch']",A single stage object detection toolbox based on PyTorch
shinya7y/universenet,shinya7y/UniverseNet,"['object-detection', 'pytorch', 'mmdetection', 'waymo-open-dataset']",USB: Universal-Scale Object Detection Benchmark (BMVC 2022)
tongjilibo/bert4torch,Tongjilibo/bert4torch,"['bert', 'nlp', 'pytorch', 'bert4keras', 'named-entity-recognition', 'relation-extraction', 'seq2seq', 'text-classification', 'transformers', 'bert4torch']",pytorch implement of transformers refer to bert4keras
layumi/seg-uncertainty,layumi/Seg-Uncertainty,"['ijcai', 'domain-adaptation', 'semantic-segmentation', 'pytorch', 'ijcai2020', 'pytorch-implementation', 'gta5', 'cityscapes', 'synthia', 'robotcar', 'self-driving-car', 'domainadaptation', 'transfer-learning', 'mrnet']",IJCAI2020 & IJCV2021 :city_sunrise: Unsupervised Scene Adaptation with Memory Regularization in vivo 
mpolaris/onnx2tflite,MPolaris/onnx2tflite,"['onnx2keras', 'onnx2tflite', 'onnx2tensorflow', 'yolov5', 'yolov6', 'yolov7', 'deployment', 'onnx', 'pytorch2tensorflow', 'quantization']","Tool for onnx->keras or onnx->tflite. If tool is useful for you, please star it."
parthaeth/gif,ParthaEth/GIF,"['generative-interpretable-faces', 'photorealistic-faces', 'gan', 'photorealism', 'gans', 'conditonal-gan', 'latent-variable-models', 'generative-adversarial-network', 'generative-models']",GIF is a photorealistic generative face model with explicit 3D geometric and photometric control.
lturing/tacotronv2_wavernn_chinese,lturing/tacotronv2_wavernn_chinese,[],tacotronV2 + wavernn 实现中文语音合成(Tensorflow + pytorch) 
microsoft/cocosnet,microsoft/CoCosNet,"['image-synthesis', 'image-translation', 'generative-adversarial-network', 'image-manipulation', 'gans', 'cocosnet', 'pytorch', 'computer-vision', 'deep-learning']",Cross-domain Correspondence Learning for Exemplar-based Image Translation. (CVPR 2020 Oral)
microsoft/godel,microsoft/GODEL,"['data-processing', 'dialogue', 'dialogue-systems', 'machine-learning', 'text-data', 'text-generation', 'transformers', 'conversational-ai', 'language-grounding', 'grounded-generation', 'dialogpt', 'language-model', 'pretrained-model', 'pytorch', 'transformer']",Large-scale pretrained models for goal-directed dialog
rbbrdckybk/ai-art-generator,rbbrdckybk/ai-art-generator,"['machine-learning', 'vqgan-clip', 'deep-learning', 'image-generation', 'clip-guided-diffusion', 'generative-art', 'stable-diffusion']",For automating the creation of large batches of AI-generated artwork locally.
bowenc0221/panoptic-deeplab,bowenc0221/panoptic-deeplab,"['bottom-up', 'instance-segmentation', 'semantic-segmentation', 'deeplab', 'panoptic-segmentation', 'sementation', 'cvpr2020', 'cityscapes', 'pytorch', 'detectron2']","This is Pytorch re-implementation of our CVPR 2020 paper ""Panoptic-DeepLab: A Simple, Strong, and Fast Baseline for Bottom-Up Panoptic Segmentation"" (https://arxiv.org/abs/1911.10194)"
petuum/adaptdl,petuum/adaptdl,"['deep-learning', 'kubernetes', 'pytorch', 'distributed-systems', 'aws', 'distributed-training', 'machine-learning', 'cloud']",Resource-adaptive cluster scheduler for deep learning training.
hellonlp/classifier_multi_label_textcnn,hellonlp/classifier-multi-label,"['multi-label-classification', 'text-classification', 'tensorflow', 'multi-label', 'textcnn', 'cnn', 'bert', 'albert', 'classifier-multi-label', 'text-classifier']",多标签文本分类，多标签分类，文本分类，multi-label，classifier，text classification，BERT，ALBERT，multi-label-classification
tensorflow/cloud,tensorflow/cloud,"['tensorflow', 'cloud', 'gcp', 'keras']",The TensorFlow Cloud repository provides APIs that will allow to easily go from debugging and training your Keras and TensorFlow code in a local environment to distributed training in the cloud.
google-research/ravens,google-research/ravens,"['deep-learning', 'robotics', 'manipulation', 'pick-and-place', 'computer-vision', 'artificial-intelligence', 'vision', 'rearrangement', 'reinforcement-learning', 'imitation-learning', 'tensorflow', 'openai-gym', 'transporter-nets', 'pybullet']","Train robotic agents to learn pick and place with deep learning for vision-based manipulation in PyBullet. Transporter Nets, CoRL 2020."
